ChoiceID,Amount,Offer,Bullets
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40116,128.97,Digital + 16M + ULD + 1 Premium 128.97,"UPGRADE AND GET MORE FROM CHARTER

100+ channels of the best shows plus 6,500+  shows On Demand. 

Choice of 1 Premium Package. Internet speeds up to 16Mbps including PowerBoost® and free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"LOCK IN YOUR PRICE FOR TWO YEARS!

100+ channels of the best shows, movies and sports including 6,500+ movies and shows On Demand. 

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40119,135.97,Digital Cable + 8M + ULD + 2 Premiums + Digital View 135.97,"UPGRADE AND GET MORE FROM CHARTER

120+ channels of the best shows plus 6,500+ shows On Demand. Choice of 2 Premium Packages. 

Internet speeds up to 8Mbps including PowerBoost® and  access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
New1-40210,104.98,HD Ultra +DigViewPlus + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 120+ channels with top rated channels in HD. 6,500+ shows On Demand.

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. 

"
New2-40211,140.98,HD Ultra + DigViewPlus +3Prem + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 140+ channels with top rated channels in HD. 6,500+ shows On Demand.
HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. 
"
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40119,135.97,Digital Cable + 8M + ULD + 2 Premiums + Digital View 135.97,"UPGRADE AND GET MORE FROM CHARTER

120+ channels of the best shows plus 6,500+ shows On Demand. Choice of 2 Premium Packages. 

Internet speeds up to 8Mbps including PowerBoost® and  access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
New1-40210,104.98,HD Ultra +DigViewPlus + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 120+ channels with top rated channels in HD. 6,500+ shows On Demand.

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. "
